epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,686.275,1.55024,1.31878,1.45299,1.31579,0.81032,0.5,0.6872,0.25228,0.97425,0.6,0.8118,0.21726,1.15132,0.9778,1.02281,1.14104,0.00190804,0.00190804,0.00190804
101,693.05,1.29015,1.22315,1.31744,1.16906,0.73412,0.7,0.71599,0.30514,0.95876,0.6,0.80652,0.32014,1.04089,0.88436,1.07428,1.04372,0.00190622,0.00190622,0.00190622
102,699.501,1.14555,1.14333,1.18457,0.94427,0.54751,0.8,0.73009,0.31547,0.94382,0.7,0.78737,0.37902,1.06732,0.88572,1.03805,0.97517,0.00190438,0.00190438,0.00190438
103,706.258,1.36032,1.17963,1.18143,1.13068,0.71192,0.6,0.71706,0.33246,0.83261,0.7,0.76584,0.2323,1.17584,1.09166,1.00886,0.99979,0.00190252,0.00190252,0.00190252
104,713.281,1.47901,1.38119,1.66345,1.28149,0.95172,0.4,0.68357,0.27166,0.80356,0.7,0.77725,0.31074,1.23458,0.90353,1.0404,1.01371,0.00190065,0.00190065,0.00190065
105,719.993,1.14609,1.09954,1.07606,0.98909,0.72289,0.6,0.76583,0.29539,0.84647,0.7,0.78875,0.28761,1.21459,0.8925,1.01565,1.04188,0.00189875,0.00189875,0.00189875
106,726.836,1.32538,1.10815,1.16142,1.08525,0.82928,0.6,0.67775,0.29174,0.96906,0.7,0.76724,0.30275,1.16874,0.98511,1.1505,1.0383,0.00189685,0.00189685,0.00189685
107,733.603,1.32869,1.18349,1.28697,1.13982,0.77202,0.67927,0.81742,0.33931,0.88552,0.77572,0.86028,0.37439,1.02868,0.8393,0.91538,0.94537,0.00189492,0.00189492,0.00189492
108,740.294,1.39365,1.30764,1.45502,1.20435,0.95142,0.7,0.87602,0.37382,0.95142,0.7,0.80352,0.26881,1.0431,1.03658,0.98489,0.95499,0.00189299,0.00189299,0.00189299
109,747.567,1.3902,1.25036,1.37502,1.23229,0.96249,0.7,0.84631,0.3231,0.96249,0.7,0.84631,0.31098,1.07709,0.99991,1.08497,0.98603,0.00189103,0.00189103,0.00189103
110,754.53,1.40382,1.27746,1.38986,1.13828,1,0.6835,0.87141,0.3239,1,0.6835,0.8275,0.32635,1.13108,0.89505,1.03036,1.01048,0.00188906,0.00188906,0.00188906
111,761.146,1.44887,1.27506,1.36972,1.21704,0.66266,1,0.90452,0.3941,0.66266,1,0.90452,0.29292,1.08043,0.90912,0.864,0.94845,0.00188707,0.00188707,0.00188707
